Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
129, 28866, 2, 7600, 498, 793, 8455, 91 
130, 28866, 1, 3800, 340, 704, 2835, 4 
1, 28883, 3854, 14645200, 1093433, 2632971, 6627692, 34291 
131, 28866, 6, 22800, 464, 883, 19931, 166 
132, 28866, 72, 273600, 20599, 80767, 160882, 2520 
133, 28866, 39, 148200, 29779, 55069, 147025, 5154 
134, 28866, 101, 387600, 117852, 265696, 268885, 2557 
135, 28866, 1, 7600, 404, 727, 5309, 33 
136, 28866, 1, 3800, 340, 704, 2993, 8 
1, 28884, 3168, 12038400, 1032928, 2506830, 5820248, 31736 
137, 28866, 44, 171000, 29483, 54151, 164332, 5330 
138, 28866, 105, 399000, 117849, 265683, 271711, 2563 
139, 28866, 27, 98800, 29212, 53761, 100560, 2549 
140, 28866, 96, 364800, 117831, 265674, 276862, 2576 
141, 28866, 26, 95000, 29218, 53793, 96837, 2549 
142, 28866, 95, 357200, 117840, 265704, 269392, 2541 
143, 28866, 26, 98800, 29193, 53731, 97222, 2518 
144, 28866, 101, 380000, 117835, 265697, 264782, 2518 
145, 28866, 57, 216600, 85931, 233609, 177972, 810 
146, 28866, 1, 3800, 356, 704, 2929, 5 
1, 28885, 3308, 12566600, 1048634, 2543186, 5961067, 33063 
147, 28866, 3, 11400, 433, 899, 10946, 85 
148, 28866, 601, 2287600, 237871, 427814, 1388480, 36940 
149, 28866, 3, 7600, 498, 793, 8994, 83 
150, 28866, 1, 0, 343, 704, 2660, 7 
1, 28886, 4346, 16514800, 1095038, 2635735, 6741469, 38805 
151, 28866, 13, 49400, 427, 895, 49428, 69 
152, 28866, 71, 269800, 20601, 80767, 164069, 2521 
153, 28866, 40, 155800, 29763, 55069, 152720, 5156 
154, 28866, 104, 395200, 117841, 265696, 276271, 2617 
155, 28866, 1, 7600, 408, 727, 6139, 41 
156, 28866, 1, 0, 346, 704, 2550, 4 
1, 28887, 2952, 11213800, 1031311, 2503508, 5693263, 30841 
157, 28866, 45, 167200, 29483, 54157, 165109, 5329 
158, 28866, 110, 418000, 117847, 265683, 291992, 2576 
159, 28866, 25, 98800, 29220, 53761, 95600, 2552 
160, 28866, 110, 421800, 117825, 265675, 271647, 2538 
161, 28866, 24, 91200, 29220, 53793, 91942, 2550 
162, 28866, 107, 406600, 117848, 265705, 277441, 2534 
163, 28866, 26, 98800, 29198, 53731, 100310, 2528 
164, 28866, 96, 364800, 117839, 265697, 284528, 2569 
165, 28866, 61, 231800, 85820, 233386, 191041, 1041 
166, 28866, 0, 3800, 351, 704, 2694, 4 
