#ProfileFileVersion=2.6
#ProfilerVersion=2.6.2153
#Application=/home/lifxu/Desktop/github-test/PIM/rodinia/nw/nw.exe
#ApplicationArgs=2048 10 ./nw.cl
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Vendor=Advanced Micro Devices, Inc.
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Name=AMD Accelerated Parallel Processing
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLDriver Version=1124.2 (sse2,avx,fma4)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device AMD A10-5800K APU with Radeon(tm) HD Graphics   NumberAppAddressBits=64
#Device Tahiti Platform Vendor=Advanced Micro Devices, Inc.
#Device Tahiti Platform Name=AMD Accelerated Parallel Processing
#Device Tahiti Platform Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti CLDriver Version=1124.2 (VM)
#Device Tahiti CLRuntime Version=OpenCL 1.2 AMD-APP (1124.2)
#Device Tahiti NumberAppAddressBits=32
#OS Version=CentOS release 6.4 (Final)
#DisplayName=
#ListSeparator=,
Method, ExecutionOrder, ThreadID, CallIndex, GlobalWorkSize, WorkGroupSize, Time, LocalMemSize, VGPRs, SGPRs, ScratchRegs, FCStacks, Wavefronts, VALUInsts, SALUInsts, VFetchInsts, SFetchInsts, VWriteInsts, LDSInsts, VALUUtilization, VALUBusy, SALUBusy, FetchSize, CacheHit, MemUnitBusy, MemUnitStalled, WriteUnitStalled, LDSBankConflict, WriteSize, GDSInsts
nw_kernel1_pim__k1_Tahiti1, 34, 6590, 0, {     80       1       1}, {   16     1     1},         0.03896, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.17,         0.12,        19.19,        41.72,         3.29,         0.09,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 35, 6591, 0, {     64       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.16,         0.12,        16.19,        44.69,         1.99,         0.05,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 36, 6592, 0, {     64       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.17,         0.12,        16.19,        44.69,         2.01,         0.06,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 37, 6593, 0, {     80       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.20,         0.14,        19.19,        46.99,         3.79,         0.10,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 38, 6594, 0, {     80       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.16,         0.12,        19.19,        41.72,         3.19,         0.09,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 39, 6595, 0, {     64       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         4.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.14,         0.10,        16.19,        44.69,         3.28,         0.09,         0.00,         0.03,         5.75,         0.00
nw_kernel1_pim__k1_Tahiti1, 40, 6596, 0, {     80       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.21,         0.15,        19.19,        41.72,         3.97,         0.11,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 41, 6597, 0, {     80       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.20,         0.15,        19.19,        41.72,         3.95,         0.11,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 42, 6598, 0, {     80       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.21,         0.15,        19.19,        41.72,         3.98,         0.11,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 43, 6599, 0, {     96       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.20,         0.15,        22.19,        39.38,         3.30,         0.09,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 44, 6600, 0, {     80       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.17,         0.12,        19.19,        41.72,         3.29,         0.09,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 45, 6601, 0, {     80       1       1}, {   16     1     1},         0.03422, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.17,         0.12,        19.19,        41.72,         3.28,         0.09,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 46, 6602, 0, {     96       1       1}, {   16     1     1},         0.03511, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.20,         0.15,        22.19,        39.38,         3.26,         0.09,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 47, 6603, 0, {     96       1       1}, {   16     1     1},         0.03778, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        22.19,        39.38,         3.98,         0.11,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 48, 6604, 0, {     80       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         5.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.16,         0.12,        19.19,        41.72,         3.15,         0.09,         0.00,         0.04,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 49, 6605, 0, {     96       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.19,         0.14,        22.19,        39.38,         3.11,         0.09,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 50, 6606, 0, {     96       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        22.19,        39.38,         3.98,         0.11,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 51, 6607, 0, {     96       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        22.19,        44.32,         3.96,         0.11,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 52, 6608, 0, {    112       1       1}, {   16     1     1},         0.03556, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.23,         0.17,        25.19,        37.50,         3.22,         0.09,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 53, 6609, 0, {     96       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.19,         0.14,        22.19,        48.52,         3.12,         0.09,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 54, 6610, 0, {     96       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.20,         0.15,        22.19,        39.38,         3.28,         0.09,         0.00,         0.05,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 55, 6611, 0, {    112       1       1}, {   16     1     1},         0.04044, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.29,         0.21,        25.19,        37.50,         3.99,         0.11,         0.00,         0.07,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 56, 6612, 0, {    112       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.29,         0.21,        25.19,        46.13,         3.96,         0.11,         0.00,         0.07,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 57, 6613, 0, {     96       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         6.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        22.19,        39.38,         4.02,         0.11,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 58, 6614, 0, {    112       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.24,         0.17,        25.19,        42.13,         3.27,         0.09,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 59, 6615, 0, {    112       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.24,         0.17,        25.19,        37.50,         3.27,         0.09,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 60, 6616, 0, {    112       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.24,         0.17,        25.19,        42.13,         3.30,         0.09,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 61, 6617, 0, {    128       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.33,         0.24,        28.19,        40.31,         3.96,         0.11,         0.00,         0.08,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 62, 6618, 0, {    112       1       1}, {   16     1     1},         0.03437, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        25.19,        42.13,         3.43,         0.10,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 63, 6619, 0, {    112       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        25.19,        37.50,         3.46,         0.10,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 64, 6620, 0, {    128       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.33,         0.24,        28.19,        35.95,         3.96,         0.11,         0.00,         0.08,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 65, 6621, 0, {    128       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.27,         0.20,        28.19,        40.31,         3.27,         0.09,         0.00,         0.07,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 66, 6622, 0, {    112       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         7.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.25,         0.18,        25.19,        37.50,         3.43,         0.10,         0.00,         0.06,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 67, 6623, 0, {    128       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.33,         0.24,        28.19,        44.11,         4.01,         0.11,         0.00,         0.08,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 68, 6624, 0, {    128       1       1}, {   16     1     1},         0.03496, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.28,         0.21,        28.19,        44.11,         3.43,         0.09,         0.00,         0.07,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 69, 6625, 0, {    128       1       1}, {   16     1     1},         0.03452, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.33,         0.24,        28.19,        44.11,         3.97,         0.11,         0.00,         0.08,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 70, 6626, 0, {    144       1       1}, {   16     1     1},         0.03467, 2304, 26, 22, 0, NA,         9.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.32,         0.23,        31.19,        38.76,         3.42,         0.09,         0.00,         0.08,         0.00,         0.00
nw_kernel1_pim__k1_Tahiti1, 71, 6627, 0, {    128       1       1}, {   16     1     1},         0.03481, 2304, 26, 22, 0, NA,         8.00,       426.00,       156.00,        19.00,        11.00,        16.00,       190.00,        16.53,         0.26,         0.19,        28.19,        40.31,         3.13,         0.09,         0.00,         0.06,         0.00,         0.00
