Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
222, 6555, 3166, 12034600, 3033247, 5033122, 11954327, 280106 
223, 6555, 17, 64600, 4072, 9685, 34231, 208 
224, 6555, 1, 3800, 341, 704, 2764, 6 
1, 6608, 4116, 15637000, 1030681, 2495876, 6121026, 34795 
225, 6555, 2, 7600, 377, 661, 7140, 59 
226, 6555, 1, 3800, 345, 704, 3739, 6 
1, 6609, 4295, 16324800, 1031546, 2497199, 6049782, 34727 
227, 6555, 2, 7600, 376, 661, 7590, 63 
228, 6555, 1, 0, 339, 704, 3160, 13 
1, 6610, 4102, 15591400, 1029806, 2494686, 5905015, 34292 
229, 6555, 3101, 11783800, 3026151, 5035122, 11690736, 279601 
230, 6555, 8218, 31224600, 8417698, 25197039, 23196593, 525970 
231, 6555, 8831, 33557800, 8417796, 25196779, 25485218, 525918 
232, 6555, 14911, 56665600, 14476597, 35262279, 48745597, 1078883 
233, 6555, 3161, 12015600, 3033258, 5033121, 11957911, 280138 
234, 6555, 3135, 11916800, 3033238, 5033121, 11867417, 280031 
235, 6555, 17, 64600, 4066, 9690, 28424, 205 
236, 6555, 1, 3800, 338, 704, 2650, 8 
1, 6611, 4462, 16955600, 1032531, 2495074, 5967849, 36405 
237, 6555, 2, 7600, 379, 661, 6826, 61 
238, 6555, 10, 38000, 342, 704, 3942, 14 
1, 6612, 4133, 15705400, 1032281, 2499362, 5893023, 34344 
239, 6555, 2, 7600, 376, 661, 7187, 68 
240, 6555, 1, 3800, 342, 704, 3340, 8 
1, 6613, 4350, 16530000, 1029496, 2495441, 5871330, 32512 
241, 6555, 3188, 12118200, 3026096, 5035122, 12005353, 279578 
242, 6555, 8361, 31771800, 8417524, 25197039, 23361146, 526134 
243, 6555, 8907, 33846600, 8417727, 25197035, 25734969, 526023 
244, 6555, 15174, 57665000, 14475513, 35262281, 49651528, 1078844 
245, 6555, 3124, 11867400, 3033199, 5033121, 11801637, 280041 
246, 6555, 3170, 12042200, 3033263, 5033121, 11977744, 280062 
247, 6555, 16, 60800, 4056, 9663, 28617, 204 
248, 6555, 0, 3800, 350, 704, 2909, 9 
1, 6614, 4964, 18867000, 1032710, 2499083, 6136469, 37755 
249, 6555, 2, 7600, 380, 661, 7526, 63 
250, 6555, 1, 3800, 343, 704, 3343, 8 
1, 6615, 4311, 16385600, 1032185, 2499354, 6292157, 35821 
251, 6555, 2, 7600, 380, 661, 6933, 67 
252, 6555, 3, 11400, 345, 704, 12411, 8 
1, 6616, 4379, 16636400, 1031889, 2498156, 6106982, 34747 
253, 6555, 3174, 12061200, 3026098, 5035122, 11981568, 279593 
254, 6555, 8429, 32026400, 8417742, 25197036, 23727586, 525988 
255, 6555, 8508, 32334200, 8417609, 25197036, 24367416, 526317 
256, 6555, 15097, 57364800, 14475770, 35262537, 49193882, 1079035 
257, 6555, 3143, 11943400, 3033221, 5033121, 11898442, 280054 
258, 6555, 3143, 11939600, 3033245, 5033121, 11887881, 280032 
259, 6555, 14, 57000, 4089, 9685, 29239, 220 
260, 6555, 1, 0, 344, 704, 2748, 3 
1, 6617, 4457, 16940400, 1031437, 2495123, 6116523, 36618 
261, 6555, 2, 7600, 378, 661, 6868, 60 
262, 6555, 1, 3800, 341, 704, 3328, 7 
1, 6618, 4228, 16066400, 1032097, 2499883, 5990794, 34072 
263, 6555, 2, 3800, 379, 661, 6850, 68 
264, 6555, 1, 3800, 339, 704, 3125, 11 
1, 6619, 4314, 16397000, 1032373, 2499554, 6044394, 33732 
