Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
187, 12456, 7125, 27075000, 18359292, 39193315, 26266930, 392118 
188, 12456, 2, 7600, 421, 729, 9297, 80 
189, 12456, 7131, 27097800, 18424315, 39180796, 26360733, 392182 
190, 12456, 2, 11400, 797, 2027, 9776, 78 
191, 12456, 5, 19000, 487, 1008, 5641, 35 
192, 12456, 1, 3800, 357, 721, 3224, 6 
193, 12456, 3, 11400, 475, 1008, 4823, 2 
194, 12456, 0, 3800, 346, 721, 2911, 0 
195, 12456, 3, 11400, 475, 1008, 4400, 1 
196, 12456, 14, 53200, 2466, 4799, 29035, 293 
197, 12456, 1, 3800, 339, 704, 2646, 3 
1, 12487, 3028, 11510200, 1014290, 2461288, 5394706, 31375 
198, 12456, 1, 7600, 352, 639, 6803, 61 
199, 12456, 1, 3800, 338, 704, 3057, 6 
1, 12488, 3312, 12585600, 1014600, 2463144, 5295460, 31480 
200, 12456, 2, 7600, 355, 639, 7288, 68 
201, 12456, 1, 3800, 340, 704, 3081, 11 
1, 12489, 3525, 13395000, 1015163, 2464682, 5388258, 31879 
202, 12456, 2, 7600, 370, 719, 7618, 63 
203, 12456, 11, 0, 339, 705, 2798, 6 
204, 12456, 0, 3800, 331, 705, 1953, 3 
205, 12456, 1, 3800, 321, 669, 3543, 18 
206, 12456, 7242, 27519600, 18306829, 39145704, 26591940, 392281 
207, 12456, 2, 7600, 424, 729, 10289, 90 
208, 12456, 7131, 27101600, 18344791, 39193314, 26357204, 392154 
209, 12456, 2, 7600, 399, 729, 6259, 41 
210, 12456, 7242, 27527200, 18387417, 39328570, 26770273, 392224 
211, 12456, 3, 11400, 823, 2027, 14574, 133 
212, 12456, 6, 22800, 485, 1008, 6912, 37 
213, 12456, 1, 3800, 354, 721, 3633, 8 
214, 12456, 2, 11400, 469, 1008, 5279, 3 
215, 12456, 1, 3800, 352, 721, 3430, 1 
216, 12456, 3, 11400, 472, 1008, 4919, 4 
217, 12456, 15, 53200, 2614, 5236, 29158, 289 
218, 12456, 1, 3800, 341, 704, 2707, 4 
1, 12490, 3264, 12407000, 1016388, 2467462, 5633793, 32931 
219, 12456, 2, 7600, 351, 639, 6935, 62 
220, 12456, 1, 3800, 341, 704, 3225, 10 
1, 12491, 3294, 12513400, 1014288, 2463869, 5303904, 31497 
221, 12456, 2, 7600, 356, 639, 7093, 61 
222, 12456, 1, 3800, 342, 704, 2990, 9 
1, 12492, 3320, 12619800, 1014916, 2463860, 5427581, 31371 
223, 12456, 2, 7600, 369, 719, 6995, 66 
