Exec_Order, ThreadId, elapsed_us, elapsed_uc, COMMIT_CYC, INSTRUCTIONS, CLOCK_CYC, L2_CACHE_MISS
160, 25773, 17, 68400, 31339, 57445, 66056, 98 
161, 25773, 2, 7600, 400, 721, 6745, 51 
162, 25773, 1, 3800, 341, 704, 2940, 3 
1, 25806, 2721, 10339800, 1022321, 2486008, 5332331, 28621 
163, 25773, 2, 7600, 348, 634, 7809, 60 
164, 25773, 1, 3800, 337, 704, 3077, 8 
1, 25807, 2635, 10016800, 1021273, 2487414, 5042818, 22034 
165, 25773, 46, 174800, 32134, 58953, 173476, 5763 
166, 25773, 106, 406600, 130346, 324552, 294534, 6304 
167, 25773, 121, 459800, 192581, 437115, 364795, 3048 
168, 25773, 18, 64600, 31339, 57445, 67255, 72 
169, 25773, 2, 7600, 685, 1483, 7796, 29 
170, 25773, 4, 11400, 987, 2390, 6884, 21 
171, 25773, 3, 15200, 1332, 2989, 7806, 19 
172, 25773, 2, 3800, 496, 1056, 4215, 1 
173, 25773, 2, 7600, 405, 726, 6261, 46 
174, 25773, 1, 3800, 339, 704, 2737, 3 
1, 25808, 2690, 10225800, 1023011, 2482738, 5062520, 24394 
175, 25773, 2, 7600, 354, 634, 7162, 58 
176, 25773, 1, 3800, 343, 704, 3005, 9 
1, 25809, 2675, 10168800, 1019956, 2481546, 5179198, 26469 
177, 25773, 47, 178600, 32436, 59668, 174570, 5818 
178, 25773, 104, 399000, 130431, 303823, 279881, 5738 
179, 25773, 137, 520600, 192629, 417810, 429853, 5424 
180, 25773, 22, 79800, 31345, 57445, 83216, 877 
181, 25773, 2, 7600, 396, 721, 6411, 47 
182, 25773, 1, 3800, 338, 704, 2738, 4 
1, 25810, 2936, 11156800, 1029585, 2494769, 5633547, 31624 
183, 25773, 2, 7600, 352, 634, 8242, 62 
184, 25773, 1, 3800, 340, 704, 3218, 7 
1, 25811, 2824, 10727400, 1019961, 2478397, 5206884, 25776 
185, 25773, 46, 174800, 32142, 58953, 172540, 5763 
186, 25773, 95, 361000, 130344, 324448, 259169, 3280 
187, 25773, 117, 444600, 192570, 436819, 354646, 2884 
188, 25773, 21, 79800, 31333, 57445, 77548, 80 
189, 25773, 3, 7600, 678, 1483, 8124, 31 
190, 25773, 4, 15200, 983, 2389, 6581, 23 
191, 25773, 4, 11400, 1331, 2989, 7612, 20 
192, 25773, 1, 3800, 496, 1056, 3882, 1 
193, 25773, 2, 3800, 403, 726, 6586, 38 
194, 25773, 0, 3800, 346, 704, 2737, 1 
1, 25812, 2791, 10605800, 1018339, 2472088, 5462648, 26507 
195, 25773, 2, 7600, 350, 634, 7345, 56 
196, 25773, 0, 3800, 342, 704, 3132, 9 
1, 25813, 2736, 10400600, 1015283, 2472003, 5088763, 24778 
197, 25773, 47, 178600, 32442, 59692, 175193, 5799 
198, 25773, 106, 399000, 130383, 303822, 286657, 4938 
199, 25773, 132, 505400, 192609, 417809, 411903, 6142 
200, 25773, 17, 64600, 31337, 57445, 63431, 44 
201, 25773, 2, 7600, 402, 721, 6605, 48 
202, 25773, 1, 3800, 346, 704, 2711, 2 
1, 25814, 2681, 10191600, 1022141, 2480612, 5287295, 28793 
203, 25773, 2, 7600, 350, 634, 7288, 65 
204, 25773, 1, 0, 343, 704, 3042, 12 
1, 25815, 2895, 11004800, 1021252, 2486078, 5274708, 23640 
205, 25773, 50, 193800, 32152, 58977, 189999, 5775 
206, 25773, 121, 459800, 130385, 324345, 322671, 7499 
207, 25773, 120, 456000, 192587, 436525, 363353, 3048 
208, 25773, 20, 76000, 31333, 57445, 76664, 60 
209, 25773, 2, 7600, 679, 1483, 8501, 44 
210, 25773, 3, 11400, 982, 2388, 6958, 13 
211, 25773, 3, 11400, 1333, 2989, 7791, 14 
212, 25773, 1, 3800, 494, 1056, 3978, 1 
213, 25773, 1, 7600, 400, 726, 6326, 47 
214, 25773, 1, 3800, 347, 704, 2749, 2 
1, 25816, 2946, 11191000, 1021817, 2478560, 5512586, 27849 
215, 25773, 2, 7600, 352, 634, 7090, 57 
216, 25773, 1, 3800, 344, 704, 3311, 7 
1, 25817, 2597, 9868600, 1021214, 2483506, 5184692, 25856 
217, 25773, 47, 182400, 32438, 59692, 189237, 5801 
218, 25773, 92, 349600, 130368, 303821, 249961, 2731 
219, 25773, 135, 513000, 192592, 417808, 407196, 3801 
220, 25773, 18, 64600, 31336, 57445, 67178, 89 
221, 25773, 1, 3800, 394, 721, 5305, 36 
222, 25773, 1, 3800, 345, 704, 2720, 2 
1, 25818, 2606, 9902800, 1020378, 2484772, 5137930, 23678 
223, 25773, 3, 7600, 351, 634, 8610, 62 
224, 25773, 1, 3800, 345, 704, 3158, 11 
1, 25819, 2894, 10997200, 1020937, 2484879, 5125790, 23652 
225, 25773, 47, 178600, 32144, 58977, 176062, 5775 
226, 25773, 122, 459800, 130402, 324240, 320195, 8042 
227, 25773, 121, 463600, 192579, 436233, 368189, 3055 
228, 25773, 18, 64600, 31340, 57445, 65294, 53 
229, 25773, 3, 7600, 675, 1483, 7864, 37 
230, 25773, 4, 11400, 982, 2387, 7190, 15 
231, 25773, 3, 11400, 1329, 2989, 8524, 15 
232, 25773, 2, 3800, 495, 1056, 4470, 8 
233, 25773, 2, 7600, 401, 726, 6574, 48 
234, 25773, 0, 3800, 344, 704, 2652, 5 
1, 25820, 2754, 10461400, 1019863, 2481176, 5219551, 23032 
235, 25773, 2, 7600, 350, 634, 7446, 56 
236, 25773, 1, 3800, 342, 704, 3179, 8 
1, 25821, 2705, 10282800, 1019153, 2481084, 5059548, 24797 
237, 25773, 47, 178600, 32440, 59692, 177386, 5814 
238, 25773, 93, 357200, 130367, 303820, 250597, 2773 
239, 25773, 121, 463600, 192598, 417808, 347127, 2825 
240, 25773, 22, 87400, 31380, 57445, 85980, 728 
241, 25773, 1, 3800, 396, 721, 5145, 38 
242, 25773, 1, 0, 341, 704, 2767, 5 
1, 25822, 2754, 10461400, 1026090, 2493213, 5162804, 26979 
243, 25773, 2, 7600, 351, 634, 7640, 57 
244, 25773, 1, 3800, 341, 704, 3022, 8 
1, 25823, 2871, 10913600, 1025529, 2492884, 5405634, 26365 
245, 25773, 47, 174800, 32152, 58977, 175090, 5756 
246, 25773, 114, 433200, 130399, 324136, 320587, 8032 
247, 25773, 129, 490200, 192594, 435944, 369314, 3257 
248, 25773, 17, 64600, 31334, 57445, 64024, 39 
249, 25773, 3, 11400, 674, 1483, 9498, 51 
250, 25773, 3, 11400, 982, 2386, 5812, 19 
251, 25773, 4, 19000, 1336, 2989, 10743, 85 
252, 25773, 1, 3800, 500, 1056, 4018, 1 
253, 25773, 2, 7600, 400, 726, 7912, 54 
254, 25773, 1, 3800, 339, 704, 2755, 3 
1, 25824, 3007, 11430400, 1026866, 2490960, 5563199, 27779 
255, 25773, 2, 7600, 355, 634, 7878, 62 
256, 25773, 1, 3800, 344, 704, 3294, 7 
1, 25825, 2801, 10643800, 1022876, 2489757, 5372503, 27900 
257, 25773, 47, 178600, 32442, 59692, 177249, 5805 
258, 25773, 92, 349600, 130368, 303819, 248753, 2722 
259, 25773, 121, 463600, 192604, 417806, 371255, 2863 
260, 25773, 18, 68400, 31336, 57445, 67944, 132 
261, 25773, 2, 3800, 397, 721, 5962, 41 
262, 25773, 1, 3800, 345, 704, 2934, 4 
1, 25826, 3025, 11533000, 1026076, 2489969, 5515761, 30756 
263, 25773, 11, 38000, 353, 635, 9322, 65 
264, 25773, 1, 3800, 343, 704, 2988, 9 
1, 25827, 2685, 10203000, 1025495, 2492194, 5102484, 24289 
265, 25773, 46, 174800, 32150, 58977, 173200, 5772 
266, 25773, 95, 361000, 130344, 324032, 250953, 2728 
267, 25773, 128, 482600, 192543, 435655, 390497, 2817 
268, 25773, 18, 68400, 31339, 57445, 68586, 91 
269, 25773, 2, 7600, 665, 1483, 6818, 30 
270, 25773, 4, 11400, 978, 2385, 5762, 14 
271, 25773, 3, 15200, 1333, 2989, 8486, 17 
272, 25773, 1, 3800, 494, 1056, 4255, 0 
273, 25773, 2, 3800, 402, 726, 6307, 37 
274, 25773, 1, 3800, 344, 704, 2645, 3 
1, 25828, 2817, 10704600, 1022315, 2489800, 5355312, 22532 
275, 25773, 2, 7600, 351, 634, 7283, 58 
276, 25773, 1, 3800, 341, 704, 3076, 9 
1, 25829, 2709, 10298000, 1023354, 2490593, 5583626, 25725 
277, 25773, 52, 201400, 32436, 59693, 176963, 5807 
278, 25773, 101, 387600, 130428, 303818, 279586, 5753 
279, 25773, 137, 524400, 192624, 417805, 432417, 5390 
280, 25773, 28, 106400, 31339, 57445, 108246, 2338 
281, 25773, 1, 7600, 396, 721, 6953, 52 
282, 25773, 1, 3800, 345, 704, 2716, 4 
1, 25830, 2827, 10746400, 1020606, 2484803, 5339224, 25648 
283, 25773, 2, 11400, 353, 634, 8275, 62 
284, 25773, 1, 3800, 345, 704, 3252, 8 
1, 25831, 2738, 10408200, 1018606, 2483544, 4978533, 21156 
285, 25773, 48, 178600, 32152, 58977, 177483, 5768 
286, 25773, 98, 372400, 130348, 323928, 260753, 2767 
287, 25773, 128, 482600, 192569, 435369, 362357, 2886 
288, 25773, 22, 87400, 31339, 57445, 86409, 842 
289, 25773, 2, 7600, 667, 1483, 6274, 27 
290, 25773, 4, 11400, 985, 2384, 6703, 16 
291, 25773, 5, 19000, 1337, 2989, 10310, 42 
292, 25773, 2, 3800, 494, 1056, 4149, 2 
293, 25773, 1, 3800, 399, 726, 6209, 36 
294, 25773, 1, 3800, 347, 704, 2765, 2 
1, 25832, 2700, 10260000, 1017921, 2476406, 5442833, 26211 
295, 25773, 2, 7600, 352, 634, 7316, 61 
296, 25773, 1, 3800, 343, 704, 3033, 9 
1, 25833, 2542, 9659600, 1017194, 2472225, 5266135, 24170 
297, 25773, 48, 178600, 32443, 59692, 178077, 5818 
298, 25773, 101, 383800, 130425, 303817, 277874, 5739 
299, 25773, 127, 478800, 192617, 417804, 393415, 5374 
300, 25773, 17, 68400, 31341, 57445, 66282, 97 
301, 25773, 2, 3800, 399, 721, 6703, 48 
302, 25773, 1, 3800, 345, 704, 3035, 4 
1, 25834, 2943, 11183400, 1020137, 2480871, 5613534, 26461 
303, 25773, 3, 7600, 350, 634, 8331, 75 
304, 25773, 1, 3800, 339, 704, 3033, 11 
1, 25835, 2624, 9971200, 1020735, 2482604, 5313030, 25102 
305, 25773, 46, 178600, 32154, 58977, 175030, 5769 
306, 25773, 120, 452200, 130404, 323824, 340182, 8015 
307, 25773, 149, 562400, 192624, 435085, 447347, 8574 
308, 25773, 16, 64600, 31335, 57445, 64094, 28 
309, 25773, 2, 11400, 679, 1483, 8589, 48 
310, 25773, 3, 11400, 984, 2383, 6216, 21 
311, 25773, 4, 11400, 1330, 2989, 8760, 13 
312, 25773, 2, 3800, 492, 1056, 4275, 0 
313, 25773, 1, 7600, 401, 726, 6128, 50 
314, 25773, 1, 3800, 346, 704, 2994, 3 
1, 25836, 2740, 10412000, 1016266, 2472601, 5199739, 27800 
315, 25773, 2, 7600, 353, 634, 6879, 60 
316, 25773, 1, 3800, 342, 704, 3207, 7 
1, 25837, 2848, 10826200, 1019663, 2476728, 5353549, 28179 
317, 25773, 51, 193800, 32439, 59692, 190843, 5798 
318, 25773, 93, 353400, 130371, 303816, 249570, 2810 
319, 25773, 118, 448400, 192596, 417803, 350341, 2954 
320, 25773, 19, 72200, 31342, 57445, 72014, 245 
321, 25773, 2, 7600, 397, 721, 5611, 36 
322, 25773, 1, 3800, 343, 704, 2687, 2 
1, 25838, 2734, 10389200, 1021210, 2484165, 5236623, 26061 
323, 25773, 2, 7600, 351, 634, 8542, 59 
324, 25773, 2, 3800, 336, 704, 3555, 7 
1, 25839, 3015, 11460800, 1021848, 2481281, 5858280, 30870 
325, 25773, 47, 178600, 32152, 58977, 175281, 5779 
326, 25773, 125, 471200, 130415, 323721, 349220, 8003 
327, 25773, 119, 456000, 192586, 434803, 362619, 3121 
328, 25773, 21, 76000, 31335, 57445, 78112, 104 
329, 25773, 2, 7600, 675, 1483, 7823, 51 
330, 25773, 4, 15200, 985, 2382, 7216, 16 
331, 25773, 4, 15200, 1336, 2989, 8886, 16 
332, 25773, 2, 3800, 494, 1056, 4187, 0 
333, 25773, 2, 3800, 403, 726, 6628, 48 
334, 25773, 1, 3800, 345, 704, 2755, 5 
1, 25840, 2795, 10621000, 1018993, 2478836, 5184614, 26720 
335, 25773, 2, 7600, 360, 634, 7773, 57 
336, 25773, 1, 3800, 341, 704, 3223, 8 
1, 25841, 2793, 10609600, 1018629, 2472660, 5300577, 26959 
337, 25773, 51, 193800, 32444, 59692, 192509, 5816 
338, 25773, 99, 380000, 130430, 303815, 273616, 5743 
339, 25773, 146, 554800, 192657, 417803, 444325, 8530 
340, 25773, 17, 64600, 31333, 57445, 64221, 41 
341, 25773, 1, 3800, 401, 721, 6725, 52 
342, 25773, 1, 3800, 347, 704, 2728, 3 
